title,org,tender_description,opening_date,n_bids_declared,bid_number,bidder_name,currency,bid_amount,category,created_date,pdf_url,detail_url
Reconstruction Of Collapsed Retaining Wall At Bougainville – Anse Royale,SEYCHELLES INFRASTRUCTURE AGENCY,RE CONSTRUCTION OF COLLAPSED RETAINING WALL AT BOUGAINVILLE – ANSE ROYALE,,2,1.0,TED CONSTRUCTION,SR,579555.0,Infrastructure,15 April 2026.,https://www.ntb.sc/media/tender-files/RECONSTRUCTION_OF_COLLAPSED_RETAINING_WALL_AT_BOUGAINVILLE_-_ANSE_ROYALE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/reconstruction-of-collapsed-retaining-wall-at-bougainville-anse-royale
Reconstruction Of Collapsed Retaining Wall At Bougainville – Anse Royale,SEYCHELLES INFRASTRUCTURE AGENCY,RE CONSTRUCTION OF COLLAPSED RETAINING WALL AT BOUGAINVILLE – ANSE ROYALE,,2,2.0,RS CONSTRUCTION & SERVICES,SR,883400.0,Infrastructure,15 April 2026.,https://www.ntb.sc/media/tender-files/RECONSTRUCTION_OF_COLLAPSED_RETAINING_WALL_AT_BOUGAINVILLE_-_ANSE_ROYALE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/reconstruction-of-collapsed-retaining-wall-at-bougainville-anse-royale
Renovation To Existing Duplex Housing Units At Ile Perseverance,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION TO EXISTING DUPLEX HOUSING UNITS AT ILE PERSEVERANCE,,8,1.0,"ELITE BUILDERS & CARPENTERS PTY
LTD",SR,773000.0,Housing,31 March 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_TO_EXISTING_DUPLEX_HOUSING_UNITS_AT_ILE_PERSEVERANCE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-to-existing-duplex-housing-units-at-ile-perseverance
Renovation To Existing Duplex Housing Units At Ile Perseverance,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION TO EXISTING DUPLEX HOUSING UNITS AT ILE PERSEVERANCE,,8,2.0,RAFA BUILDERS,SR,819460.0,Housing,31 March 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_TO_EXISTING_DUPLEX_HOUSING_UNITS_AT_ILE_PERSEVERANCE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-to-existing-duplex-housing-units-at-ile-perseverance
Renovation To Existing Duplex Housing Units At Ile Perseverance,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION TO EXISTING DUPLEX HOUSING UNITS AT ILE PERSEVERANCE,,8,3.0,FATEH CONSTRUCTION,SR,859605.0,Housing,31 March 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_TO_EXISTING_DUPLEX_HOUSING_UNITS_AT_ILE_PERSEVERANCE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-to-existing-duplex-housing-units-at-ile-perseverance
Renovation To Existing Duplex Housing Units At Ile Perseverance,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION TO EXISTING DUPLEX HOUSING UNITS AT ILE PERSEVERANCE,,8,4.0,BONNELAME CONSTRUCTION,SR,791690.0,Housing,31 March 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_TO_EXISTING_DUPLEX_HOUSING_UNITS_AT_ILE_PERSEVERANCE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-to-existing-duplex-housing-units-at-ile-perseverance
Renovation To Existing Duplex Housing Units At Ile Perseverance,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION TO EXISTING DUPLEX HOUSING UNITS AT ILE PERSEVERANCE,,8,5.0,S.O.G BUILD & MAINTENANCE,SR,838450.0,Housing,31 March 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_TO_EXISTING_DUPLEX_HOUSING_UNITS_AT_ILE_PERSEVERANCE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-to-existing-duplex-housing-units-at-ile-perseverance
Renovation To Existing Duplex Housing Units At Ile Perseverance,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION TO EXISTING DUPLEX HOUSING UNITS AT ILE PERSEVERANCE,,8,6.0,DIVY CONSTRUCTION,SR,961460.0,Housing,31 March 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_TO_EXISTING_DUPLEX_HOUSING_UNITS_AT_ILE_PERSEVERANCE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-to-existing-duplex-housing-units-at-ile-perseverance
Renovation To Existing Duplex Housing Units At Ile Perseverance,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION TO EXISTING DUPLEX HOUSING UNITS AT ILE PERSEVERANCE,,8,7.0,BYD DESIGN & CONSTRUCTION,SR,1071127.0,Housing,31 March 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_TO_EXISTING_DUPLEX_HOUSING_UNITS_AT_ILE_PERSEVERANCE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-to-existing-duplex-housing-units-at-ile-perseverance
Renovation To Existing Duplex Housing Units At Ile Perseverance,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION TO EXISTING DUPLEX HOUSING UNITS AT ILE PERSEVERANCE,,8,8.0,APOLLO DESIGN & BUILD,SR,1398816.0,Housing,31 March 2026.,https://www.ntb.sc/media/tender-files/RENOVATION_TO_EXISTING_DUPLEX_HOUSING_UNITS_AT_ILE_PERSEVERANCE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-to-existing-duplex-housing-units-at-ile-perseverance
Drainage Improvement Works At Quincy Super Village Anse Etoile,SEYCHELLES INFRASTRUCTURE AGENCY,DRAINAGE IMPROVEMENT WORKS AT QUINCY SUPER VILLAGE ANSE ETOILE,,3,1.0,VEERA CONSTRUCTION,SR,898460.0,Infrastructure,30 March 2026.,https://www.ntb.sc/media/tender-files/DRAINAGE__IMPROVEMENT__WORKS_AT_QUINCY_SUPER_VILLAGE_ANSE_ETOILE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/drainage-improvement-works-at-quincy-super-village-anse-etoile
Drainage Improvement Works At Quincy Super Village Anse Etoile,SEYCHELLES INFRASTRUCTURE AGENCY,DRAINAGE IMPROVEMENT WORKS AT QUINCY SUPER VILLAGE ANSE ETOILE,,3,2.0,FATEH CONSTRUCTION,SR,649955.0,Infrastructure,30 March 2026.,https://www.ntb.sc/media/tender-files/DRAINAGE__IMPROVEMENT__WORKS_AT_QUINCY_SUPER_VILLAGE_ANSE_ETOILE.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/drainage-improvement-works-at-quincy-super-village-anse-etoile
